meeting_hours,focus_blocks,tasks_completed,overdue_tasks,after_hours_activity,response_time_avg,calendar_fragmentation,consecutive_meeting_ratio,employee_id,week,archetype,productivity_score
17.52,5,11,0.053,1,3.17,0.449,0.273,7,6,balanced,92.74
21.09,4,8,0.087,0,4.19,0.542,0.204,7,7,balanced,85.55
13.45,4,11,0.132,0,4.55,0.58,0.201,7,8,balanced,95.26
14.41,6,11,0.241,1,2.2,0.262,0.192,7,9,balanced,94.15
18.49,4,10,0.119,2,5.53,0.347,0.211,7,10,balanced,90.97
19.5,9,11,0.098,2,4.11,0.482,0.291,7,11,balanced,95.95
21.09,4,10,0.098,0,2.31,0.449,0.283,8,0,balanced,83.14
15.75,6,11,0.031,1,3.09,0.475,0.142,8,1,balanced,98.14
19.91,6,9,0.152,1,4.21,0.256,0.264,8,2,balanced,96.38
15.85,5,9,0.13,0,3.97,0.352,0.26,8,3,balanced,89.5
15.05,5,5,0.164,2,1.3,0.359,0.152,8,4,balanced,97.77
15.76,7,12,0.199,1,1.85,0.389,0.301,8,5,balanced,94.99
14.64,7,9,0.077,0,3.07,0.377,0.326,8,6,balanced,96.19
14.98,5,10,0.106,2,3.72,0.446,0.299,8,7,balanced,90.5
12.81,8,10,0.058,1,3.37,0.324,0.141,8,8,balanced,100.0
12.57,5,6,0.154,0,4.0,0.372,0.248,8,9,balanced,93.91
13.1,10,9,0.181,0,3.37,0.448,0.248,8,10,balanced,98.6
12.76,5,14,0.119,2,4.78,0.312,0.253,8,11,balanced,94.08
4.71,12,15,0.027,1,6.1,0.274,0.103,9,0,deep_focus,100.0
6.76,9,16,0.075,2,3.2,0.305,0.11,9,1,deep_focus,100.0
13.54,12,14,0.024,0,3.52,0.234,0.126,9,2,deep_focus,100.0
6.25,13,19,0.067,1,4.18,0.249,0.049,9,3,deep_focus,100.0
5.56,9,15,0.031,2,2.16,0.083,0.111,9,4,deep_focus,100.0
12.83,8,17,0.048,0,5.33,0.252,0.021,9,5,deep_focus,100.0
13.81,7,15,0.07,1,3.17,0.146,0.099,9,6,deep_focus,100.0
12.06,8,16,0.0,2,1.39,0.171,0.044,9,7,deep_focus,100.0
5.28,8,15,0.048,1,4.12,0.097,0.15,9,8,deep_focus,100.0
4.96,8,18,0.084,0,3.48,0.174,0.204,9,9,deep_focus,100.0
9.58,11,14,0.04,0,3.89,0.197,0.136,9,10,deep_focus,100.0
8.89,8,14,0.0,1,4.52,0.28,0.0,9,11,deep_focus,100.0
5.79,7,15,0.061,0,5.61,0.187,0.127,10,0,deep_focus,100.0
5.22,13,16,0.062,0,4.1,0.216,0.122,10,1,deep_focus,100.0
5.44,6,18,0.019,1,5.51,0.18,0.117,10,2,deep_focus,100.0
12.87,9,8,0.013,2,4.85,0.258,0.132,10,3,deep_focus,100.0
11.61,9,10,0.0,0,2.67,0.324,0.022,10,4,deep_focus,100.0
5.8,7,14,0.022,2,6.3,0.02,0.066,10,5,deep_focus,100.0
9.3,8,13,0.004,0,6.17,0.054,0.216,10,6,deep_focus,100.0
10.86,10,13,0.066,0,4.83,0.197,0.052,10,7,deep_focus,100.0
4.4,10,12,0.0,1,6.27,0.262,0.07,10,8,deep_focus,100.0
3.11,8,11,0.072,2,4.33,0.213,0.053,10,9,deep_focus,100.0
12.12,7,14,0.069,1,5.81,0.231,0.086,10,10,deep_focus,100.0
9.7,6,17,0.038,0,5.13,0.26,0.065,10,11,deep_focus,100.0
8.36,7,14,0.017,3,2.22,0.225,0.132,11,0,deep_focus,100.0
9.06,8,14,0.044,1,7.32,0.155,0.032,11,1,deep_focus,100.0
10.31,7,18,0.117,0,4.85,0.33,0.081,11,2,deep_focus,100.0
6.81,6,12,0.001,1,2.85,0.219,0.022,11,3,deep_focus,100.0
9.83,5,15,0.099,0,6.51,0.234,0.065,11,4,deep_focus,100.0
8.39,9,15,0.013,1,1.88,0.191,0.055,11,5,deep_focus,100.0
7.03,11,15,0.006,0,5.82,0.211,0.216,11,6,deep_focus,100.0
9.37,8,14,0.044,1,5.44,0.137,0.033,11,7,deep_focus,100.0
3.0,6,7,0.066,3,3.99,0.267,0.104,11,8,deep_focus,100.0
8.62,8,14,0.063,0,5.49,0.186,0.062,11,9,deep_focus,100.0
8.71,9,13,0.093,1,3.96,0.265,0.17,11,10,deep_focus,100.0
9.68,6,10,0.038,0,3.72,0.205,0.126,11,11,deep_focus,100.0
20.0,0,3,0.592,4,11.62,0.747,0.653,12,0,at_risk,45.29
30.02,0,1,0.488,5,7.88,0.874,0.687,12,1,at_risk,41.5
27.89,0,4,0.625,13,6.87,0.833,0.737,12,2,at_risk,35.63
33.43,0,5,0.503,9,12.29,0.848,0.733,12,3,at_risk,40.46
28.0,1,1,0.566,3,7.02,0.848,0.554,12,4,at_risk,41.4
36.72,0,5,0.421,0,8.67,0.78,0.522,12,5,at_risk,51.69
32.05,2,0,0.31,5,9.73,0.924,0.891,12,6,at_risk,45.41
36.9,1,1,0.575,3,10.19,0.857,0.922,12,7,at_risk,30.86
29.13,1,2,0.43,10,7.06,0.744,0.818,12,8,at_risk,41.91
34.43,0,3,0.444,4,12.64,0.899,0.881,12,9,at_risk,37.49
22.23,1,1,0.646,10,8.25,0.853,0.896,12,10,at_risk,31.65
41.23,1,1,0.604,8,9.37,0.802,0.622,12,11,at_risk,37.2
13.07,8,13,0.062,1,5.29,0.153,0.092,13,0,deep_focus,100.0
8.6,12,15,0.079,1,5.76,0.214,0.035,13,1,deep_focus,100.0
8.55,7,15,0.1,1,4.46,0.336,0.112,13,2,deep_focus,100.0
16.37,5,16,0.065,2,5.01,0.189,0.039,13,3,deep_focus,100.0
6.52,7,15,0.117,1,2.21,0.236,0.16,13,4,deep_focus,100.0
6.04,9,11,0.076,0,4.63,0.129,0.078,13,5,deep_focus,100.0
9.79,12,12,0.059,1,1.87,0.059,0.024,13,6,deep_focus,100.0
11.24,14,12,0.057,2,7.01,0.365,0.16,13,7,deep_focus,100.0
11.66,10,12,0.017,0,3.74,0.164,0.135,13,8,deep_focus,100.0
10.95,11,10,0.042,0,1.2,0.193,0.094,13,9,deep_focus,100.0
13.17,6,19,0.099,1,3.66,0.123,0.081,13,10,deep_focus,100.0
13.15,12,12,0.005,1,1.35,0.226,0.093,13,11,deep_focus,100.0
28.74,1,4,0.331,5,3.78,0.745,0.621,14,0,meeting_heavy,55.21
17.74,1,5,0.428,3,3.8,0.79,0.543,14,1,meeting_heavy,55.79
26.66,1,2,0.386,2,4.32,0.658,0.57,14,2,meeting_heavy,57.78
30.22,1,4,0.237,0,3.95,0.775,0.609,14,3,meeting_heavy,60.05
28.0,1,2,0.438,1,3.78,0.807,0.467,14,4,meeting_heavy,56.59
34.82,2,2,0.318,2,4.92,0.813,0.555,14,5,meeting_heavy,55.85
34.4,1,4,0.388,6,5.83,0.667,0.473,14,6,meeting_heavy,61.85
23.87,4,7,0.247,1,6.15,0.89,0.606,14,7,meeting_heavy,60.11
22.29,1,5,0.279,1,8.32,0.673,0.455,14,8,meeting_heavy,65.5
24.66,2,4,0.347,2,4.53,0.758,0.688,14,9,meeting_heavy,59.04
21.1,3,5,0.481,1,2.34,0.77,0.636,14,10,meeting_heavy,55.9
32.85,2,5,0.331,0,6.24,0.848,0.666,14,11,meeting_heavy,56.57
6.59,7,15,0.133,0,4.04,0.313,0.096,15,0,deep_focus,100.0
8.29,9,13,0.089,2,7.88,0.246,0.116,15,1,deep_focus,100.0
8.23,9,13,0.057,2,2.49,0.291,0.166,15,2,deep_focus,100.0
5.52,7,17,0.049,0,3.24,0.267,0.127,15,3,deep_focus,100.0
6.92,8,11,0.115,0,5.83,0.322,0.15,15,4,deep_focus,99.67
7.11,8,11,0.063,0,5.78,0.163,0.11,15,5,deep_focus,100.0
8.59,10,12,0.085,0,4.19,0.355,0.05,15,6,deep_focus,100.0
6.48,9,15,0.07,1,5.66,0.233,0.088,15,7,deep_focus,100.0
11.92,8,11,0.094,0,0.74,0.268,0.073,15,8,deep_focus,100.0
8.06,9,16,0.033,1,3.61,0.259,0.131,15,9,deep_focus,100.0
6.28,7,16,0.065,2,3.66,0.172,0.099,15,10,deep_focus,100.0
7.89,5,10,0.007,1,6.57,0.192,0.092,15,11,deep_focus,100.0
14.32,4,10,0.141,2,3.27,0.464,0.302,16,0,balanced,90.05
19.44,4,12,0.099,2,3.23,0.611,0.161,16,1,balanced,92.07
22.16,3,11,0.062,1,2.74,0.16,0.284,16,2,balanced,90.96
18.39,7,14,0.126,1,2.82,0.356,0.073,16,3,balanced,97.72
10.2,6,7,0.066,0,2.8,0.401,0.337,16,4,balanced,93.6
14.23,11,10,0.109,0,2.81,0.311,0.271,16,5,balanced,100.0
10.99,5,12,0.096,0,1.62,0.214,0.317,16,6,balanced,92.02
16.0,9,11,0.087,1,2.39,0.329,0.277,16,7,balanced,95.61
8.08,4,9,0.211,1,3.51,0.383,0.348,16,8,balanced,92.08
20.82,2,10,0.166,1,3.64,0.406,0.19,16,9,balanced,81.59
8.62,11,9,0.002,2,3.86,0.529,0.288,16,10,balanced,100.0
21.22,4,8,0.054,1,4.43,0.453,0.289,16,11,balanced,85.08
16.22,7,6,0.198,0,4.03,0.513,0.163,17,0,balanced,96.57
11.56,5,9,0.167,2,4.4,0.344,0.233,17,1,balanced,92.59
8.34,7,13,0.046,0,2.97,0.428,0.185,17,2,balanced,100.0
15.32,5,11,0.12,1,2.89,0.391,0.22,17,3,balanced,94.1
17.42,7,9,0.162,1,4.17,0.437,0.241,17,4,balanced,98.29
13.2,3,7,0.129,3,5.23,0.464,0.29,17,5,balanced,81.49
8.51,4,8,0.11,1,1.02,0.475,0.164,17,6,balanced,95.66
19.87,4,4,0.103,2,4.96,0.277,0.29,17,7,balanced,87.89
13.39,11,6,0.135,1,4.09,0.41,0.275,17,8,balanced,100.0
14.36,5,11,0.098,1,2.97,0.513,0.246,17,9,balanced,92.02
12.2,4,8,0.084,2,0.86,0.714,0.334,17,10,balanced,79.57
15.56,6,11,0.159,2,3.09,0.38,0.238,17,11,balanced,91.93
18.09,5,12,0.26,1,4.96,0.376,0.326,18,0,balanced,91.66
17.48,4,12,0.088,0,2.32,0.346,0.319,18,1,balanced,89.25
17.98,6,8,0.162,2,3.58,0.445,0.189,18,2,balanced,91.65
13.99,5,6,0.022,1,2.45,0.411,0.239,18,3,balanced,91.99
16.31,5,9,0.207,1,2.82,0.408,0.237,18,4,balanced,89.18
10.88,4,11,0.082,1,3.7,0.372,0.301,18,5,balanced,96.51
10.11,6,10,0.021,2,2.15,0.434,0.251,18,6,balanced,98.02
22.39,3,8,0.131,0,3.78,0.484,0.295,18,7,balanced,89.5
18.45,3,10,0.076,2,1.17,0.397,0.277,18,8,balanced,91.06
10.91,6,11,0.058,0,4.13,0.373,0.188,18,9,balanced,100.0
16.21,8,8,0.11,2,2.77,0.476,0.245,18,10,balanced,93.7
24.08,3,11,0.071,1,3.07,0.294,0.335,18,11,balanced,87.34
29.87,1,3,0.35,4,3.11,0.52,0.545,19,0,meeting_heavy,54.19
19.1,1,3,0.495,3,6.6,0.812,0.486,19,1,meeting_heavy,53.76
29.0,2,1,0.195,4,6.75,0.66,0.513,19,2,meeting_heavy,63.03
27.12,3,2,0.414,2,7.21,0.696,0.584,19,3,meeting_heavy,59.89
23.16,2,2,0.327,1,0.88,0.731,0.841,19,4,meeting_heavy,49.91
28.1,1,4,0.405,0,8.23,0.822,0.672,19,5,meeting_heavy,55.3
26.79,2,5,0.315,1,6.2,0.905,0.476,19,6,meeting_heavy,61.95
19.46,2,4,0.374,2,8.98,0.59,0.517,19,7,meeting_heavy,60.9
21.3,1,7,0.352,3,3.48,0.688,0.562,19,8,meeting_heavy,61.28
26.29,2,1,0.375,3,8.28,0.908,0.498,19,9,meeting_heavy,58.26
19.24,1,4,0.449,2,5.36,0.765,0.516,19,10,meeting_heavy,61.26
30.14,2,8,0.351,2,5.29,0.732,0.737,19,11,meeting_heavy,56.57
6.23,8,10,0.068,1,4.07,0.227,0.079,20,0,deep_focus,100.0
2.43,9,14,0.052,1,3.13,0.202,0.129,20,1,deep_focus,100.0
6.5,7,16,0.106,2,4.35,0.104,0.1,20,2,deep_focus,100.0
13.31,8,15,0.0,0,2.37,0.238,0.136,20,3,deep_focus,100.0
6.67,8,12,0.018,1,2.86,0.075,0.033,20,4,deep_focus,100.0
3.44,9,14,0.074,2,3.11,0.233,0.021,20,5,deep_focus,100.0
10.89,7,12,0.0,1,4.32,0.185,0.023,20,6,deep_focus,100.0
14.5,14,11,0.088,1,3.56,0.313,0.08,20,7,deep_focus,100.0
3.45,9,10,0.028,0,3.45,0.236,0.101,20,8,deep_focus,100.0
11.39,8,12,0.088,2,5.11,0.124,0.121,20,9,deep_focus,100.0
9.38,7,9,0.078,0,2.9,0.118,0.049,20,10,deep_focus,100.0
6.97,10,13,0.095,0,2.2,0.269,0.129,20,11,deep_focus,100.0
27.63,1,6,0.524,4,6.17,0.669,0.517,21,0,meeting_heavy,55.13
27.93,3,5,0.2,5,4.0,0.712,0.625,21,1,meeting_heavy,63.2
38.0,2,3,0.403,4,5.36,0.93,0.623,21,2,meeting_heavy,52.77
28.32,2,5,0.288,1,3.8,0.794,0.678,21,3,meeting_heavy,57.93
30.18,1,5,0.241,2,7.39,0.835,0.571,21,4,meeting_heavy,57.98
21.68,1,5,0.408,4,6.1,0.751,0.534,21,5,meeting_heavy,58.43
28.64,2,2,0.135,5,5.04,0.664,0.669,21,6,meeting_heavy,54.19
25.55,2,5,0.213,5,6.52,0.713,0.614,21,7,meeting_heavy,54.49
18.71,0,1,0.198,5,4.74,0.903,0.546,21,8,meeting_heavy,53.4
15.94,3,3,0.295,3,7.0,0.862,0.745,21,9,meeting_heavy,61.46
20.91,1,4,0.254,1,6.69,0.745,0.603,21,10,meeting_heavy,60.71
21.51,1,5,0.454,0,4.14,0.6,0.535,21,11,meeting_heavy,64.51
17.75,2,1,0.359,3,5.83,0.769,0.62,22,0,meeting_heavy,56.87
24.75,3,6,0.451,0,7.85,0.816,0.446,22,1,meeting_heavy,59.38
24.69,3,5,0.264,6,6.09,0.724,0.567,22,2,meeting_heavy,63.75
18.29,2,3,0.392,1,5.72,0.782,0.619,22,3,meeting_heavy,56.82
17.7,3,3,0.352,2,9.14,0.879,0.681,22,4,meeting_heavy,59.32
21.83,2,2,0.263,6,5.4,0.911,0.7,22,5,meeting_heavy,55.86
27.54,0,4,0.492,4,6.31,0.921,0.581,22,6,meeting_heavy,48.23
22.83,2,0,0.378,4,5.46,0.861,0.664,22,7,meeting_heavy,53.09
32.06,2,1,0.188,0,7.08,0.768,0.552,22,8,meeting_heavy,56.37
16.53,2,5,0.348,3,5.25,0.925,0.498,22,9,meeting_heavy,72.09
21.22,2,1,0.364,3,4.61,0.783,0.499,22,10,meeting_heavy,61.38
20.73,0,0,0.403,5,5.07,0.683,0.701,22,11,meeting_heavy,51.16
30.36,1,0,0.516,4,10.53,1.0,0.787,23,0,at_risk,40.14
31.2,1,3,0.641,13,6.61,0.888,0.657,23,1,at_risk,36.84
30.02,0,2,0.696,9,6.26,0.854,0.679,23,2,at_risk,34.97
23.06,0,7,0.615,2,8.31,0.932,0.959,23,3,at_risk,41.79
20.0,2,3,0.42,8,2.09,0.85,0.783,23,4,at_risk,46.9
31.58,1,1,0.588,4,8.78,0.77,0.815,23,5,at_risk,38.89
33.59,1,0,0.505,6,17.86,0.761,0.896,23,6,at_risk,33.18
35.83,2,3,0.608,6,13.67,0.938,0.687,23,7,at_risk,35.38
22.79,0,2,0.736,5,9.87,0.855,0.835,23,8,at_risk,35.24
20.0,1,5,0.476,1,11.86,0.799,0.631,23,9,at_risk,49.17
26.32,0,0,0.685,10,11.95,0.759,0.73,23,10,at_risk,34.78
31.76,1,1,0.562,8,14.37,0.906,0.829,23,11,at_risk,36.4
11.68,8,13,0.077,2,3.15,0.388,0.278,24,0,balanced,100.0
16.74,8,11,0.139,3,4.11,0.391,0.153,24,1,balanced,100.0
13.9,4,7,0.075,0,3.85,0.384,0.14,24,2,balanced,92.13
15.54,5,12,0.095,2,3.6,0.493,0.162,24,3,balanced,94.18
15.19,3,12,0.071,0,1.99,0.47,0.128,24,4,balanced,96.28
18.94,7,11,0.166,0,4.43,0.354,0.245,24,5,balanced,94.79
14.99,4,10,0.046,2,3.67,0.371,0.212,24,6,balanced,91.84
15.52,6,12,0.071,1,3.32,0.39,0.21,24,7,balanced,94.7
17.45,2,11,0.048,2,4.33,0.463,0.336,24,8,balanced,90.2
22.99,6,13,0.225,3,2.51,0.265,0.206,24,9,balanced,88.96
17.43,5,11,0.032,1,4.12,0.455,0.305,24,10,balanced,96.76
19.66,4,12,0.19,2,2.84,0.4,0.148,24,11,balanced,92.49
20.72,4,9,0.194,3,3.56,0.312,0.409,25,0,balanced,81.16
12.74,6,13,0.171,1,3.46,0.404,0.295,25,1,balanced,95.54
6.82,6,7,0.143,1,4.76,0.557,0.213,25,2,balanced,97.96
14.4,5,10,0.075,0,3.62,0.463,0.186,25,3,balanced,87.75
16.42,6,11,0.118,1,2.48,0.38,0.234,25,4,balanced,95.96
12.41,2,9,0.103,1,2.76,0.394,0.288,25,5,balanced,88.03
16.32,3,7,0.091,1,2.23,0.27,0.214,25,6,balanced,90.76
16.73,4,9,0.064,1,2.15,0.457,0.107,25,7,balanced,97.74
14.52,6,15,0.141,0,2.9,0.222,0.244,25,8,balanced,97.81
14.33,4,9,0.082,3,2.68,0.583,0.315,25,9,balanced,82.66
17.18,6,6,0.103,2,2.95,0.259,0.246,25,10,balanced,87.4
22.61,5,11,0.098,0,2.08,0.556,0.228,25,11,balanced,88.18
23.54,1,9,0.227,4,1.81,0.836,0.511,26,0,meeting_heavy,67.64
24.03,2,2,0.278,3,5.14,0.788,0.581,26,1,meeting_heavy,60.68
26.16,1,2,0.297,5,6.23,0.666,0.64,26,2,meeting_heavy,56.57
27.91,1,2,0.282,2,7.08,0.78,0.638,26,3,meeting_heavy,53.33
31.79,1,1,0.279,2,7.66,0.747,0.534,26,4,meeting_heavy,54.7
21.93,2,7,0.329,2,3.57,0.944,0.46,26,5,meeting_heavy,70.3
28.96,1,1,0.591,3,6.04,0.839,0.535,26,6,meeting_heavy,50.99
25.12,1,6,0.328,0,5.4,0.775,0.511,26,7,meeting_heavy,65.48
20.65,3,3,0.493,1,6.65,0.705,0.675,26,8,meeting_heavy,50.92
22.01,2,2,0.333,6,6.28,0.68,0.48,26,9,meeting_heavy,65.8
27.41,2,1,0.233,5,6.66,0.803,0.504,26,10,meeting_heavy,58.19
23.06,3,1,0.222,2,4.4,0.668,0.475,26,11,meeting_heavy,67.67
16.54,6,7,0.125,0,2.81,0.237,0.346,27,0,balanced,92.11
18.27,9,8,0.225,2,2.76,0.514,0.161,27,1,balanced,94.48
11.31,4,7,0.193,1,3.35,0.343,0.104,27,2,balanced,92.76
11.99,5,7,0.239,2,3.11,0.526,0.182,27,3,balanced,88.9
17.03,6,12,0.164,1,1.35,0.304,0.24,27,4,balanced,96.99
13.02,10,13,0.156,1,2.79,0.305,0.256,27,5,balanced,100.0
13.29,6,9,0.006,0,2.59,0.589,0.295,27,6,balanced,98.03
11.97,2,12,0.092,1,4.33,0.271,0.138,27,7,balanced,92.01
15.33,2,4,0.093,2,4.2,0.354,0.217,27,8,balanced,83.08
14.72,5,10,0.147,0,3.03,0.151,0.197,27,9,balanced,99.23
14.4,6,10,0.099,1,2.04,0.379,0.299,27,10,balanced,88.93
14.3,6,11,0.0,2,2.66,0.443,0.346,27,11,balanced,94.27
6.32,6,8,0.096,2,3.75,0.146,0.081,28,0,deep_focus,100.0
5.75,8,14,0.091,1,1.64,0.228,0.087,28,1,deep_focus,100.0
13.54,11,12,0.13,1,6.44,0.16,0.085,28,2,deep_focus,100.0
8.97,11,13,0.097,1,3.68,0.252,0.076,28,3,deep_focus,100.0
12.39,10,8,0.041,0,6.26,0.145,0.165,28,4,deep_focus,100.0
5.81,8,14,0.037,2,5.63,0.235,0.042,28,5,deep_focus,100.0
4.83,4,17,0.037,0,6.24,0.162,0.058,28,6,deep_focus,100.0
6.19,9,12,0.03,0,3.84,0.207,0.074,28,7,deep_focus,100.0
6.84,8,14,0.023,2,4.15,0.16,0.117,28,8,deep_focus,100.0
6.04,9,10,0.087,0,5.17,0.15,0.103,28,9,deep_focus,100.0
11.36,7,15,0.075,0,1.02,0.151,0.134,28,10,deep_focus,100.0
5.66,7,8,0.023,1,0.5,0.22,0.041,28,11,deep_focus,100.0
14.09,5,8,0.051,0,2.61,0.416,0.242,29,0,balanced,94.91
